voltage_V,current_mA
0.159847,0.011124
0.160157,0.011146
0.160467,0.011167
0.160777,0.011189
0.161087,0.011211
0.161397,0.011233
0.161707,0.011254
0.162017,0.011276
0.162327,0.011298
0.162637,0.011319
0.162947,0.011341
0.163257,0.011363
0.163567,0.011384
0.163877,0.011406
0.164187,0.011428
0.164497,0.011450
0.164807,0.011471
0.165116,0.011493
0.165426,0.011515
0.165736,0.011536
0.166046,0.011558
0.166356,0.011580
0.166665,0.011601
0.166975,0.011623
0.167285,0.011645
0.167595,0.011666
0.167904,0.011688
0.168214,0.011710
0.168524,0.011732
0.168833,0.011753
0.169143,0.011775
0.169453,0.011797
0.169762,0.011818
0.170072,0.011840
0.170381,0.011862
0.170691,0.011883
0.171001,0.011905
0.171310,0.011927
0.171620,0.011948
0.171929,0.011970
0.172239,0.011992
0.172548,0.012014
0.172857,0.012035
0.173167,0.012057
0.173476,0.012079
0.173786,0.012100
0.174095,0.012122
0.174404,0.012144
0.174714,0.012165
0.175023,0.012187
0.175332,0.012209
0.175642,0.012230
0.175951,0.012252
0.176260,0.012274
0.176569,0.012295
0.176879,0.012317
0.177188,0.012339
0.177497,0.012361
0.177806,0.012382
0.178115,0.012404
0.178424,0.012426
0.178734,0.012447
0.179043,0.012469
0.179352,0.012491
0.179661,0.012512
0.179970,0.012534
0.180279,0.012556
0.180588,0.012577
0.180897,0.012599
0.181206,0.012621
0.181515,0.012642
0.181824,0.012664
0.182133,0.012686
0.182441,0.012707
0.182750,0.012729
0.183059,0.012751
0.183368,0.012772
0.183677,0.012794
0.183986,0.012816
0.184294,0.012837
0.184603,0.012859
0.184912,0.012881
0.185221,0.012902
0.185529,0.012924
0.185838,0.012946
0.186147,0.012967
0.186455,0.012989
0.186764,0.013011
0.187073,0.013032
0.187381,0.013054
0.187690,0.013076
0.187998,0.013097
0.188307,0.013119
0.188616,0.013141
0.188924,0.013162
0.189233,0.013184
0.189541,0.013206
0.189849,0.013227
0.190158,0.013249
0.190466,0.013271
0.190775,0.013292
0.191083,0.013314
0.191391,0.013336
0.191700,0.013357
0.192008,0.013379
0.192316,0.013401
0.192625,0.013422
0.192933,0.013444
0.193241,0.013466
0.193549,0.013487
0.193858,0.013509
0.194166,0.013531
0.194474,0.013552
0.194782,0.013574
0.195090,0.013596
0.195398,0.013617
0.195707,0.013639
0.196015,0.013661
0.196323,0.013682
0.196631,0.013704
0.196939,0.013726
0.197247,0.013747
0.197555,0.013769
0.197863,0.013791
0.198171,0.013812
0.198479,0.013834
0.198786,0.013856
0.199094,0.013877
0.199402,0.013899
0.199710,0.013921
0.200018,0.013942
0.200326,0.013964
0.200633,0.013985
0.200941,0.014007
0.201249,0.014029
0.201557,0.014050
0.201864,0.014072
0.202172,0.014094
0.202480,0.014115
0.202787,0.014137
0.203095,0.014159
0.203403,0.014180
0.203710,0.014202
0.204018,0.014224
0.204325,0.014245
0.204633,0.014267
0.204940,0.014289
0.205248,0.014310
0.205555,0.014332
0.205863,0.014353
0.206170,0.014375
0.206477,0.014397
0.206785,0.014418
0.207092,0.014440
0.207400,0.014462
0.207707,0.014483
0.208014,0.014505
0.208321,0.014527
0.208629,0.014548
0.208936,0.014570
0.209243,0.014591
0.209550,0.014613
0.209857,0.014635
0.210165,0.014656
0.210472,0.014678
0.210779,0.014700
0.211086,0.014721
0.211393,0.014743
0.211700,0.014765
0.212007,0.014786
0.212314,0.014808
0.212621,0.014829
0.212928,0.014851
0.213235,0.014873
0.213542,0.014894
0.213849,0.014916
0.214156,0.014938
0.214463,0.014959
0.214769,0.014981
0.215076,0.015002
0.215383,0.015024
0.215690,0.015046
0.215997,0.015067
0.216303,0.015089
0.216610,0.015111
0.216917,0.015132
0.217223,0.015154
0.217530,0.015175
0.217837,0.015197
0.218143,0.015219
0.218450,0.015240
0.218756,0.015262
0.219063,0.015284
0.219369,0.015305
0.219676,0.015327
0.219982,0.015348
0.220289,0.015370
0.220595,0.015392
0.220902,0.015413
0.221208,0.015435
0.221514,0.015457
0.221821,0.015478
0.222127,0.015500
0.222433,0.015521
0.222740,0.015543
0.223046,0.015565
0.223352,0.015586
0.223658,0.015608
0.223965,0.015629
0.224271,0.015651
0.224577,0.015673
0.224883,0.015694
0.225189,0.015716
0.225495,0.015737
0.225801,0.015759
0.226107,0.015781
0.226413,0.015802
0.226719,0.015824
0.227025,0.015846
0.227331,0.015867
0.227637,0.015889
0.227943,0.015910
0.228249,0.015932
0.228555,0.015954
0.228861,0.015975
0.229166,0.015997
0.229472,0.016018
0.229778,0.016040
0.230084,0.016062
0.230389,0.016083
0.230695,0.016105
0.231001,0.016126
0.231306,0.016148
0.231612,0.016170
0.231918,0.016191
0.232223,0.016213
0.232529,0.016234
0.232834,0.016256
0.233140,0.016278
0.233445,0.016299
0.233751,0.016321
0.234056,0.016342
0.234362,0.016364
0.234667,0.016386
0.234972,0.016407
0.235278,0.016429
0.235583,0.016450
0.235888,0.016472
0.236194,0.016493
0.236499,0.016515
0.236804,0.016537
0.237109,0.016558
0.237415,0.016580
0.237720,0.016601
0.238025,0.016623
0.238330,0.016645
0.238635,0.016666
0.238940,0.016688
0.239245,0.016709
0.239550,0.016731
0.239855,0.016753
0.240160,0.016774
0.240465,0.016796
0.240770,0.016817
0.241075,0.016839
0.241380,0.016860
0.241685,0.016882
0.241990,0.016904
0.242294,0.016925
0.242599,0.016947
0.242904,0.016968
0.243209,0.016990
0.243513,0.017012
0.243818,0.017033
0.244123,0.017055
0.244427,0.017076
0.244732,0.017098
0.245037,0.017119
0.245341,0.017141
0.245646,0.017163
0.245950,0.017184
0.246255,0.017206
0.246559,0.017227
0.246864,0.017249
0.247168,0.017270
0.247473,0.017292
0.247777,0.017314
0.248081,0.017335
0.248386,0.017357
0.248690,0.017378
0.248994,0.017400
0.249298,0.017421
0.249603,0.017443
0.249907,0.017465
0.250211,0.017486
0.250515,0.017508
0.250819,0.017529
0.251123,0.017551
0.251427,0.017572
0.251732,0.017594
0.252036,0.017615
0.252340,0.017637
0.252644,0.017659
0.252948,0.017680
0.253251,0.017702
0.253555,0.017723
0.253859,0.017745
0.254163,0.017766
0.254467,0.017788
0.254771,0.017810
0.255075,0.017831
0.255378,0.017853
0.255682,0.017874
0.255986,0.017896
0.256289,0.017917
0.256593,0.017939
0.256897,0.017960
0.257200,0.017982
0.257504,0.018003
0.257807,0.018025
0.258111,0.018047
0.258414,0.018068
0.258718,0.018090
0.259021,0.018111
0.259325,0.018133
0.259628,0.018154
0.259932,0.018176
0.260235,0.018197
0.260538,0.018219
0.260842,0.018241
0.261145,0.018262
0.261448,0.018284
0.261751,0.018305
0.262054,0.018327
0.262358,0.018348
0.262661,0.018370
0.262964,0.018391
0.263267,0.018413
0.263570,0.018434
0.263873,0.018456
0.264176,0.018477
0.264479,0.018499
0.264782,0.018521
0.265085,0.018542
0.265388,0.018564
0.265691,0.018585
0.265994,0.018607
0.266296,0.018628
0.266599,0.018650
0.266902,0.018671
0.267205,0.018693
0.267507,0.018714
0.267810,0.018736
0.268113,0.018757
0.268415,0.018779
0.268718,0.018800
0.269021,0.018822
0.269323,0.018844
0.269626,0.018865
0.269928,0.018887
0.270231,0.018908
0.270533,0.018930
