t_s,V_in_V,I_sim_A,x_sim,R_sim_ohm,G_sim_S,P_sim_W
0.208003,0.607939,4.448010e-05,0.146732,13666.95,7.316919e-05,2.704118e-05
0.210004,0.612916,4.489089e-05,0.147626,13652.74,7.324536e-05,2.751433e-05
0.212004,0.617868,4.530120e-05,0.148528,13638.40,7.332240e-05,2.799017e-05
0.214004,0.622797,4.571101e-05,0.149439,13623.92,7.340030e-05,2.846866e-05
0.216004,0.627700,4.612034e-05,0.150357,13609.32,7.347906e-05,2.894974e-05
0.218004,0.632579,4.652916e-05,0.151284,13594.58,7.355870e-05,2.943337e-05
0.220004,0.637433,4.693748e-05,0.152219,13579.72,7.363922e-05,2.991949e-05
0.222004,0.642262,4.734529e-05,0.153162,13564.73,7.372062e-05,3.040806e-05
0.224004,0.647065,4.775259e-05,0.154113,13549.60,7.380291e-05,3.089903e-05
0.226004,0.651843,4.815938e-05,0.155072,13534.35,7.388608e-05,3.139234e-05
0.228004,0.656595,4.856564e-05,0.156040,13518.97,7.397015e-05,3.188795e-05
0.230004,0.661321,4.897138e-05,0.157015,13503.45,7.405512e-05,3.238580e-05
0.232004,0.666021,4.937658e-05,0.157999,13487.81,7.414100e-05,3.288584e-05
0.234004,0.670695,4.978125e-05,0.158991,13472.04,7.422778e-05,3.338802e-05
0.236004,0.675342,5.018538e-05,0.159991,13456.15,7.431548e-05,3.389229e-05
0.238004,0.679963,5.058897e-05,0.160999,13440.12,7.440410e-05,3.439860e-05
0.240004,0.684556,5.099200e-05,0.162015,13423.97,7.449364e-05,3.490690e-05
0.242004,0.689123,5.139449e-05,0.163039,13407.68,7.458410e-05,3.541712e-05
0.244004,0.693663,5.179641e-05,0.164071,13391.27,7.467550e-05,3.592923e-05
0.246004,0.698175,5.219777e-05,0.165111,13374.73,7.476784e-05,3.644316e-05
0.248004,0.702659,5.259856e-05,0.166159,13358.07,7.486112e-05,3.695887e-05
0.250004,0.707116,5.299879e-05,0.167215,13341.28,7.495535e-05,3.747629e-05
0.252004,0.711545,5.339843e-05,0.168280,13324.35,7.505054e-05,3.799538e-05
0.254004,0.715946,5.379749e-05,0.169352,13307.31,7.514668e-05,3.851609e-05
0.256004,0.720318,5.419597e-05,0.170432,13290.13,7.524379e-05,3.903835e-05
0.258004,0.724662,5.459385e-05,0.171520,13272.83,7.534187e-05,3.956211e-05
0.260004,0.728978,5.499114e-05,0.172616,13255.41,7.544092e-05,4.008733e-05
0.262004,0.733265,5.538783e-05,0.173720,13237.85,7.554096e-05,4.061394e-05
0.264004,0.737522,5.578391e-05,0.174832,13220.17,7.564198e-05,4.114189e-05
0.266004,0.741751,5.617939e-05,0.175952,13202.37,7.574399e-05,4.167112e-05
0.268004,0.745950,5.657425e-05,0.177079,13184.44,7.584701e-05,4.220159e-05
0.270005,0.750120,5.696849e-05,0.178215,13166.38,7.595102e-05,4.273323e-05
0.272005,0.754261,5.736211e-05,0.179359,13148.20,7.605605e-05,4.326599e-05
0.274005,0.758371,5.775510e-05,0.180510,13129.89,7.616209e-05,4.379981e-05
0.276005,0.762452,5.814746e-05,0.181669,13111.46,7.626916e-05,4.433464e-05
0.278005,0.766502,5.853918e-05,0.182836,13092.90,7.637725e-05,4.487042e-05
0.280005,0.770523,5.893026e-05,0.184011,13074.22,7.648638e-05,4.540710e-05
0.282005,0.774512,5.932070e-05,0.185194,13055.42,7.659655e-05,4.594461e-05
0.284005,0.778472,5.971048e-05,0.186384,13036.49,7.670777e-05,4.648291e-05
0.286005,0.782400,6.009960e-05,0.187583,13017.44,7.682005e-05,4.702194e-05
0.288005,0.786298,6.048807e-05,0.188789,12998.26,7.693338e-05,4.756163e-05
0.290005,0.790164,6.087587e-05,0.190003,12978.96,7.704778e-05,4.810194e-05
0.292005,0.794000,6.126300e-05,0.191224,12959.54,7.716326e-05,4.864280e-05
0.294005,0.797804,6.164945e-05,0.192453,12939.99,7.727981e-05,4.918416e-05
0.296005,0.801576,6.203523e-05,0.193691,12920.32,7.739746e-05,4.972597e-05
0.298005,0.805317,6.242032e-05,0.194935,12900.53,7.751620e-05,5.026815e-05
0.300005,0.809026,6.280473e-05,0.196188,12880.62,7.763604e-05,5.081067e-05
0.302005,0.812703,6.318844e-05,0.197448,12860.58,7.775699e-05,5.135346e-05
0.304005,0.816348,6.357145e-05,0.198716,12840.42,7.787906e-05,5.189645e-05
0.306005,0.819961,6.395376e-05,0.199991,12820.14,7.800226e-05,5.243961e-05
0.308005,0.823542,6.433536e-05,0.201274,12799.74,7.812658e-05,5.298285e-05
0.310005,0.827090,6.471625e-05,0.202565,12779.22,7.825205e-05,5.352614e-05
0.312005,0.830605,6.509642e-05,0.203863,12758.58,7.837866e-05,5.406941e-05
0.314005,0.834088,6.547587e-05,0.205169,12737.81,7.850642e-05,5.461261e-05
0.316005,0.837537,6.585460e-05,0.206483,12716.93,7.863535e-05,5.515567e-05
0.318005,0.840954,6.623259e-05,0.207804,12695.92,7.876545e-05,5.569854e-05
0.320005,0.844337,6.660985e-05,0.209132,12674.80,7.889673e-05,5.624116e-05
0.322005,0.847687,6.698637e-05,0.210468,12653.55,7.902919e-05,5.678347e-05
0.324005,0.851003,6.736214e-05,0.211812,12632.19,7.916285e-05,5.732541e-05
0.326005,0.854286,6.773717e-05,0.213163,12610.70,7.929771e-05,5.786693e-05
0.328005,0.857535,6.811143e-05,0.214522,12589.10,7.943379e-05,5.840797e-05
0.330006,0.860751,6.848494e-05,0.215888,12567.38,7.957109e-05,5.894847e-05
0.332006,0.863932,6.885769e-05,0.217262,12545.54,7.970961e-05,5.948837e-05
0.334006,0.867079,6.922966e-05,0.218643,12523.58,7.984937e-05,6.002762e-05
0.336006,0.870192,6.960086e-05,0.220031,12501.50,7.999038e-05,6.056614e-05
0.338006,0.873271,6.997129e-05,0.221427,12479.31,8.013265e-05,6.110390e-05
0.340006,0.876315,7.034093e-05,0.222830,12457.00,8.027618e-05,6.164083e-05
0.342006,0.879325,7.070978e-05,0.224241,12434.57,8.042099e-05,6.217686e-05
0.344006,0.882300,7.107784e-05,0.225659,12412.02,8.056708e-05,6.271195e-05
