t_ms,V_ltp_V,I_ltp_uA,R_ltp_kOhm,G_ltp_uS,V_ltd_V,I_ltd_uA,R_ltd_kOhm,G_ltd_uS
8.200000000000001,1.0,69.6205059635273,14.363584207846449,69.6205059635273,-1.0,-69.17413546344189,14.45627029959043,69.17413546344189
8.3,1.0,69.62587185792192,14.36247724180163,69.62587185792192,-1.0,-69.16887292473074,14.457370168344301,69.16887292473074
8.4,1.0,69.63123899318033,14.36137019043909,69.63123899318033,-1.0,-69.1636115869368,14.458469953423805,69.1636115869368
8.5,0.0,0.0,14.360263053739098,69.63660736978088,0.0,0.0,14.459569654848035,69.15835144960334
8.6,0.0,0.0,14.360263053739098,69.63660736978088,0.0,0.0,14.459569654848035,69.15835144960334
8.700000000000001,0.0,0.0,14.360263053739098,69.63660736978088,0.0,0.0,14.459569654848035,69.15835144960334
8.8,0.0,0.0,14.360263053739098,69.63660736978088,0.0,0.0,14.459569654848035,69.15835144960334
8.9,0.0,0.0,14.360263053739098,69.63660736978088,0.0,0.0,14.459569654848035,69.15835144960334
9.000000000000002,1.0,69.63660736978088,14.360263053739098,69.63660736978088,-1.0,-69.15835144960334,14.459569654848035,69.15835144960334
9.1,1.0,69.64197698820209,14.35915583168192,69.64197698820209,-1.0,-69.15309251227391,14.460669272636085,69.15309251227391
9.2,1.0,69.64734784892282,14.358048524247806,69.64734784892282,-1.0,-69.14783477449238,14.461768806807028,69.14783477449238
9.3,1.0,69.65271995242217,14.356941131417008,69.65271995242217,-1.0,-69.14257823580269,14.462868257379943,69.14257823580269
9.4,1.0,69.65809329917948,14.355833653169762,69.65809329917948,-1.0,-69.1373228957492,14.46396762437389,69.1373228957492
9.5,1.0,69.66346788967435,14.354726089486306,69.66346788967435,-1.0,-69.13206875387635,14.465066907807937,69.13206875387635
9.600000000000001,0.0,0.0,14.353618440346862,69.66884372438666,0.0,0.0,14.466166107701122,69.12681580972902
9.700000000000001,0.0,0.0,14.353618440346862,69.66884372438666,0.0,0.0,14.466166107701122,69.12681580972902
9.799999999999999,0.0,0.0,14.353618440346862,69.66884372438666,0.0,0.0,14.466166107701122,69.12681580972902
9.9,0.0,0.0,14.353618440346862,69.66884372438666,0.0,0.0,14.466166107701122,69.12681580972902
10.0,1.0,69.66884372438666,14.353618440346862,69.66884372438666,-1.0,-69.12681580972902,14.466166107701122,69.12681580972902
10.100000000000001,1.0,69.67422080379652,14.352510705731644,69.67422080379652,-1.0,-69.12156406285213,14.467265224072497,69.12156406285213
10.200000000000001,1.0,69.67959912838435,14.351402885620862,69.67959912838435,-1.0,-69.11631351279098,14.468364256941097,69.11631351279098
10.3,1.0,69.68497869863076,14.350294979994722,69.68497869863076,-1.0,-69.11106415909104,14.469463206325951,69.11106415909104
10.400000000000002,1.0,69.69035951501667,14.349186988833413,69.69035951501667,-1.0,-69.10581600129807,14.470562072246079,69.10581600129807
10.5,0.0,0.0,14.348078912117124,69.69574157802325,0.0,0.0,14.471660854720499,69.10056903895801
10.6,0.0,0.0,14.348078912117124,69.69574157802325,0.0,0.0,14.471660854720499,69.10056903895801
10.700000000000001,0.0,0.0,14.348078912117124,69.69574157802325,0.0,0.0,14.471660854720499,69.10056903895801
10.8,0.0,0.0,14.348078912117124,69.69574157802325,0.0,0.0,14.471660854720499,69.10056903895801
10.9,0.0,0.0,14.348078912117124,69.69574157802325,0.0,0.0,14.471660854720499,69.10056903895801
11.000000000000002,1.0,69.69574157802325,14.348078912117124,69.69574157802325,-1.0,-69.10056903895801,14.471660854720499,69.10056903895801
11.1,1.0,69.70112488813191,14.346970749826035,69.70112488813191,-1.0,-69.0953232716171,14.472759553768219,69.0953232716171
11.2,1.0,69.70650944582437,14.345862501940314,69.70650944582437,-1.0,-69.09007869882181,14.473858169408237,69.09007869882181
11.3,1.0,69.71189525158255,14.344754168440124,69.71189525158255,-1.0,-69.08483532011881,14.474956701659549,69.08483532011881
11.4,1.0,69.71728230588865,14.343645749305624,69.71728230588865,-1.0,-69.07959313505506,14.476055150541137,69.07959313505506
11.5,1.0,69.72267060922516,14.34253724451696,69.72267060922516,-1.0,-69.07435214317773,14.477153516071986,69.07435214317773
